               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038155,            0.022363,           0.0034292,             0.81966,             0.79405,             0.83547,             0.45032,            0.027731,            0.010931,           0.0021793,           0.0093268,           0.0093268,           0.0093268
                  36,            0.037589,             0.02184,           0.0032636,             0.86776,              0.7886,             0.83735,             0.48028,              0.0258,            0.010763,            0.001494,            0.009307,            0.009307,            0.009307
                  37,            0.037622,            0.022244,           0.0031014,             0.87936,             0.77691,             0.83058,             0.46421,            0.027005,            0.010742,           0.0016525,           0.0092872,           0.0092872,           0.0092872
                  38,            0.037586,            0.022066,           0.0026716,             0.82209,             0.80022,             0.83477,             0.46725,            0.028834,            0.010827,           0.0022655,           0.0092674,           0.0092674,           0.0092674
                  39,            0.037622,            0.022005,           0.0030218,             0.84846,              0.7769,             0.81908,             0.43184,            0.028833,            0.011043,           0.0019332,           0.0092476,           0.0092476,           0.0092476
                  40,            0.037396,            0.022257,           0.0029717,              0.8714,             0.83321,             0.86319,              0.4888,            0.025569,            0.010722,            0.001741,           0.0092278,           0.0092278,           0.0092278
                  41,             0.03688,            0.022191,           0.0026999,              0.8137,              0.7964,             0.83582,             0.45208,            0.027995,             0.01066,           0.0016966,            0.009208,            0.009208,            0.009208
                  42,            0.037563,            0.021829,           0.0028774,             0.91579,             0.80594,             0.85589,             0.49934,            0.025212,            0.010349,           0.0015678,           0.0091882,           0.0091882,           0.0091882
                  43,            0.036945,            0.021393,           0.0031195,             0.87908,             0.82512,             0.86594,             0.50385,            0.025307,            0.010322,            0.001451,           0.0091684,           0.0091684,           0.0091684
                  44,             0.03655,             0.02185,           0.0026471,             0.85963,              0.7828,             0.84272,             0.47898,            0.026172,            0.010894,           0.0027914,           0.0091486,           0.0091486,           0.0091486
                  45,            0.036228,             0.02181,           0.0026996,             0.88973,             0.81453,             0.86273,             0.50486,            0.025285,            0.010355,           0.0016513,           0.0091288,           0.0091288,           0.0091288
                  46,            0.036459,            0.021462,           0.0026278,             0.84838,             0.78792,             0.82026,             0.47399,            0.024971,            0.010361,           0.0015436,            0.009109,            0.009109,            0.009109
                  47,            0.036438,            0.021854,            0.003019,             0.88094,              0.8303,             0.86209,             0.50487,            0.025858,            0.010381,           0.0015598,           0.0090892,           0.0090892,           0.0090892
                  48,            0.036584,            0.021273,           0.0030337,              0.8535,             0.82057,             0.85453,             0.46649,            0.027394,            0.010693,           0.0025902,           0.0090694,           0.0090694,           0.0090694
                  49,            0.036249,            0.020991,           0.0029321,             0.83508,             0.83353,             0.85426,             0.50078,            0.025957,            0.010612,           0.0027708,           0.0090496,           0.0090496,           0.0090496
                  50,             0.03633,            0.021656,           0.0026812,             0.85897,             0.82527,             0.86092,             0.49777,            0.025431,            0.010305,           0.0014989,           0.0090298,           0.0090298,           0.0090298
                  51,            0.035725,            0.021615,           0.0026053,              0.8624,             0.83604,              0.8652,             0.51619,            0.024997,            0.010213,           0.0016999,             0.00901,             0.00901,             0.00901
                  52,            0.035331,            0.021188,           0.0027296,             0.86031,             0.84159,             0.87075,             0.51679,             0.02474,            0.010051,           0.0014647,           0.0089902,           0.0089902,           0.0089902
                  53,            0.035666,            0.021299,           0.0024273,             0.85755,             0.80142,             0.84702,             0.46968,            0.027605,            0.010483,            0.002517,           0.0089704,           0.0089704,           0.0089704
                  54,            0.034965,            0.020716,           0.0023407,             0.83131,             0.84351,             0.86178,             0.52436,            0.024323,            0.010085,           0.0016668,           0.0089506,           0.0089506,           0.0089506
                  55,             0.03495,            0.020487,            0.002605,             0.87929,             0.83189,             0.86857,             0.52426,            0.024289,            0.010132,           0.0014572,           0.0089308,           0.0089308,           0.0089308
                  56,             0.03528,             0.02099,           0.0022389,              0.8626,              0.8362,             0.86907,              0.5157,            0.024334,            0.010282,           0.0015447,            0.008911,            0.008911,            0.008911
                  57,            0.035094,            0.020872,            0.002426,             0.87175,             0.85408,             0.87356,              0.5263,            0.023888,           0.0098222,           0.0015755,           0.0088912,           0.0088912,           0.0088912
                  58,            0.034696,             0.01984,           0.0022784,             0.88344,             0.84279,             0.87166,             0.52069,            0.024143,            0.010131,           0.0015655,           0.0088714,           0.0088714,           0.0088714
                  59,            0.035063,            0.020614,           0.0022784,             0.86073,             0.84197,             0.87207,             0.52015,            0.024035,           0.0098792,           0.0015992,           0.0088516,           0.0088516,           0.0088516
                  60,            0.034793,             0.02102,           0.0023391,             0.85378,             0.83246,             0.86511,             0.49792,            0.024857,            0.010293,           0.0017611,           0.0088318,           0.0088318,           0.0088318
                  61,            0.034441,            0.021513,           0.0021963,             0.90075,             0.82583,             0.88098,             0.53345,             0.02442,            0.010031,           0.0015172,            0.008812,            0.008812,            0.008812
                  62,            0.034405,            0.020955,           0.0019613,             0.89078,             0.84151,              0.8756,             0.52892,            0.024004,            0.009987,           0.0014715,           0.0087922,           0.0087922,           0.0087922
                  63,            0.034528,            0.020019,           0.0023026,             0.88664,             0.84597,             0.88111,             0.53534,            0.023494,            0.010023,           0.0015421,           0.0087724,           0.0087724,           0.0087724
                  64,            0.034378,            0.020525,           0.0022043,             0.88936,             0.82405,             0.86228,             0.51128,            0.024463,           0.0099663,           0.0012995,           0.0087526,           0.0087526,           0.0087526
                  65,            0.034349,            0.020485,           0.0025871,             0.88853,             0.82972,             0.87036,             0.51556,            0.024097,            0.010073,           0.0016246,           0.0087328,           0.0087328,           0.0087328
                  66,            0.034414,            0.021353,           0.0023607,             0.87786,             0.84764,             0.87901,             0.52885,            0.024235,            0.010029,           0.0015247,            0.008713,            0.008713,            0.008713
                  67,            0.034093,            0.019994,           0.0021437,             0.87968,             0.81745,             0.85995,             0.52614,            0.024205,           0.0099934,           0.0014374,           0.0086932,           0.0086932,           0.0086932
                  68,            0.034504,            0.020908,           0.0026648,             0.90231,             0.82351,             0.86402,             0.52737,            0.023967,            0.010021,           0.0014996,           0.0086734,           0.0086734,           0.0086734
                  69,            0.034157,            0.020224,           0.0023755,             0.87473,             0.84448,             0.87354,             0.53856,            0.023358,           0.0098053,           0.0014951,           0.0086536,           0.0086536,           0.0086536
                  70,            0.033987,            0.020323,           0.0025052,              0.8786,             0.84853,             0.87407,             0.53298,            0.023478,            0.009882,           0.0015085,           0.0086338,           0.0086338,           0.0086338
                  71,             0.03451,            0.020181,           0.0024478,             0.90257,             0.82248,             0.86965,             0.51462,            0.024158,           0.0098961,           0.0014023,            0.008614,            0.008614,            0.008614
                  72,            0.033952,            0.019918,           0.0028789,             0.92403,             0.81125,             0.87364,             0.51929,            0.023984,           0.0098997,           0.0015456,           0.0085942,           0.0085942,           0.0085942
                  73,            0.033731,             0.02032,           0.0024029,             0.89699,             0.83989,             0.87089,              0.5232,            0.023834,           0.0099493,           0.0017478,           0.0085744,           0.0085744,           0.0085744
                  74,            0.033889,            0.020249,           0.0021758,             0.88621,             0.84992,             0.87845,              0.5315,            0.024624,           0.0097965,           0.0014819,           0.0085546,           0.0085546,           0.0085546
                  75,            0.033523,            0.020794,           0.0025242,             0.88821,             0.85992,             0.89099,             0.53974,            0.023522,           0.0097755,           0.0015075,           0.0085348,           0.0085348,           0.0085348
                  76,             0.03323,            0.020297,           0.0021153,             0.91041,             0.83166,             0.87537,             0.53418,            0.023164,           0.0097499,           0.0014595,            0.008515,            0.008515,            0.008515
                  77,            0.033604,            0.020044,           0.0018559,             0.89976,             0.84401,             0.88535,              0.5367,            0.023975,           0.0097172,           0.0017666,           0.0084952,           0.0084952,           0.0084952
                  78,            0.033593,            0.018959,           0.0016832,             0.87484,             0.85691,             0.88177,             0.53264,            0.023782,           0.0099691,           0.0013941,           0.0084754,           0.0084754,           0.0084754
